# Availability - Yesterday

Date,"Node ID",Column1,Node,"IP Address","Average Availability"
8/15/2016,7796,unknown.gif,"11 Aceh",10.10.11.2,"99.44 %"
8/15/2016,4427,14988.gif,"1101 Aceh Selatan",10.11.1.1,"100.00 %"
8/15/2016,613,unknown.gif,"110101 Bakongan",10.11.141.1,"37.29 %"
8/15/2016,2231,unknown.gif,"110102 Kluet Utara",10.11.141.17,"100.00 %"
8/15/2016,2232,unknown.gif,"110103 Kluet Selatan",10.11.141.33,"9.09 %"
8/15/2016,2233,1612.gif,"110104 Labuhan Haji",10.11.141.49,"100.00 %"
8/15/2016,2234,unknown.gif,"110105 Meukek",10.11.141.65,"40.11 %"
8/15/2016,614,unknown.gif,"110106 Samadua",10.11.141.81,"97.16 %"
8/15/2016,615,unknown.gif,"110107 Sawang",10.11.141.97,"97.14 %"
8/15/2016,2235,unknown.gif,"110108 Tapaktuan",10.11.141.113,"98.30 %"
8/15/2016,480,unknown.gif,"110109 Trumon",10.11.141.129,"100.00 %"
8/15/2016,2236,unknown.gif,"110110 Pasi Raja",10.11.141.145,"0.00 %"
8/15/2016,2238,1612.gif,"110111 Labuhan Haji Timur",10.11.141.161,"100.00 %"
8/15/2016,481,unknown.gif,"110112 Labuhan Haji Barat",10.11.141.177,"89.83 %"
8/15/2016,482,unknown.gif,"110113 Kluet Tengah",10.11.141.193,"100.00 %"
8/15/2016,483,unknown.gif,"110114 Kluet Timur",10.11.141.209,"100.00 %"
8/15/2016,2237,unknown.gif,"110115 Bakongan Timur",10.11.141.225,"0.00 %"
8/15/2016,616,unknown.gif,"110116 Trumon Timur",10.11.141.241,"100.00 %"
8/15/2016,617,unknown.gif,"110117 Kota Bahagia",10.11.142.1,"20.57 %"
8/15/2016,618,unknown.gif,"110118 Trumon Tengah",10.11.142.17,"0.00 %"
8/15/2016,4470,unknown.gif,"1102 Aceh Tenggara",10.11.2.1,"100.00 %"
8/15/2016,2765,unknown.gif,"110201 Lawe Alas",10.11.144.1,"100.00 %"
8/15/2016,2239,unknown.gif,"110202 Lawe Sigala-Gala",10.11.144.17,"100.00 %"
8/15/2016,2240,unknown.gif,"110203 Bambel",10.11.144.33,"16.57 %"
8/15/2016,1139,unknown.gif,"110204 Babussalam",10.11.144.49,"100.00 %"
8/15/2016,2241,unknown.gif,"110205 Badar",10.11.144.65,"100.00 %"
